# Species	Genes	Alg.-Conn.	Streptococcus_australis_protein.faa	Streptococcus_cristatus_protein.faa	Streptococcus_ferus_protein.faa	Streptococcus_koreensis_protein.faa	Streptococcus_sobrinus_protein.faa	aerococcus_1.faa	aerococcus_2.faa	aerococcus_3.faa	aerococcus_4.faa	aerococcus_5.faa	anoxybacillus_1.faa	anoxybacillus_2.faa	anoxybacillus_3.faa	anoxybacillus_4.faa	anoxybacillus_5.faa	enterococcus_durans_protein.faa	enterococcus_faecium_protein.faa	enterococcus_gilvus_protein.faa	enterococcus_lactis_protein.faa	enterococcus_raffinosus_protein.faa	paenibacillus_1.faa	paenibacillus_2.faa	paenibacillus_3.faa	paenibacillus_4.faa	paenibacillus_5.faa
24	24	0.00184	WP_006595320.1	WP_005591370.1	WP_018030401.1	WP_023024832.1	WP_002959952.1	WP_034258092.1	WP_060776828.1	WP_060778689.1	WP_067978375.1	WP_050774109.1	WP_009360762.1	WP_066322169.1	*	WP_181557389.1	WP_171567214.1	WP_016177743.1	WP_002287409.1	WP_010779620.1	WP_002290936.1	WP_010745331.1	WP_014372583.1	WP_038692851.1	WP_116234463.1	WP_162354776.1	WP_162640941.1
19	19	0.00974	*	*	*	*	*	WP_059348513.1	WP_060776457.1	WP_060777754.1	WP_067979403.1	WP_003143510.1	WP_026011475.1	WP_066322360.1	*	WP_181555284.1	WP_230077575.1	WP_095443601.1	WP_002288853.1	WP_114524756.1	WP_002290596.1	WP_028021291.1	WP_013921571.1	WP_038699792.1	WP_152399737.1	WP_162354704.1	WP_162641333.1
15	15	0.0164	WP_126404650.1	WP_005589256.1	WP_018030269.1	WP_048789572.1	WP_002961857.1	WP_236747932.1	WP_060776206.1	WP_060777990.1	WP_067979833.1	WP_106427337.1	*	*	*	*	*	WP_005881059.1	WP_002286647.1	WP_010780216.1	WP_002291871.1	WP_010745912.1	*	*	*	*	*
19	19	0.00766	WP_126403855.1	WP_005591886.1	WP_018030905.1	WP_117745175.1	WP_019770059.1	WP_026465887.1	*	*	*	WP_106427261.1	WP_035067655.1	WP_066328132.1	*	WP_181555310.1	WP_171565069.1	WP_081135821.1	WP_002295408.1	WP_010780275.1	WP_002327152.1	WP_010745975.1	WP_013917241.1	WP_038698645.1	WP_076175183.1	*	*
10	10	0.0332	*	*	*	*	*	*	*	*	*	*	WP_009360701.1	WP_066322250.1	WP_127017760.1	WP_181557569.1	WP_171567375.1	*	*	*	*	*	WP_013921268.1	WP_038692969.1	WP_116234526.1	WP_162354954.1	WP_162640775.1
10	10	0.0206	*	*	*	*	*	*	*	*	*	*	WP_035064606.1	WP_066327906.1	*	WP_194519735.1	*	WP_002347913.1	WP_002317843.1	WP_114524807.1	WP_086314905.1	WP_218256369.1	*	WP_038692884.1	*	WP_162358170.1	*
12	12	0.0221	WP_126403605.1	*	*	WP_120701394.1	*	WP_059348373.1	WP_060777042.1	WP_060777968.1	WP_067978593.1	WP_003143159.1	*	*	*	*	*	WP_005878377.1	WP_002295097.1	WP_114524200.1	WP_002292847.1	WP_218257080.1	*	*	*	*	*
8	8	0.0141	*	*	*	*	*	*	WP_060776605.1	*	*	*	WP_035063762.1	*	*	*	*	*	*	WP_114525475.1	*	WP_218257606.1	WP_014370617.1	*	WP_152401894.1	WP_162359558.1	WP_162642763.1
7	7	0.0296	*	*	*	*	*	*	*	*	*	*	WP_019418292.1	WP_066324070.1	WP_127016136.1	WP_181557138.1	WP_171566706.1	*	*	*	*	*	*	WP_038696490.1	WP_152398152.1	*	*
8	8	0.0111	WP_126404331.1	WP_005590538.1	*	WP_120701874.1	*	*	*	*	*	*	*	*	WP_127016157.1	*	*	*	*	*	*	WP_218255587.1	WP_014370654.1	WP_052098748.1	*	WP_162357382.1	*
24	24	0.0332	WP_126403899.1	WP_005590805.1	WP_018029374.1	WP_023026448.1	WP_109833640.1	WP_236747931.1	WP_060776240.1	WP_060777998.1	WP_067979854.1	WP_106427336.1	WP_009373532.1	WP_193786409.1	*	WP_194519931.1	WP_171564375.1	WP_081133888.1	WP_002286633.1	WP_114525364.1	WP_002329026.1	WP_245001252.1	WP_013917750.1	WP_038697630.1	WP_152398415.1	WP_162356501.1	WP_162639100.1
10	10	0.0118	*	*	*	*	*	*	*	*	*	*	WP_019418416.1	WP_066323802.1	WP_127017229.1	WP_194519965.1	WP_171564640.1	*	*	*	*	*	WP_241484302.1	WP_038696735.1	WP_105443629.1	WP_162357112.1	WP_162638721.1
10	10	0.00387	WP_006596658.1	WP_005590767.1	*	WP_049514063.1	*	*	*	*	WP_067979076.1	*	*	*	WP_127018020.1	*	*	WP_005875949.1	WP_002288439.1	*	WP_002308888.1	WP_010745403.1	WP_014652992.1	*	*	*	*
10	10	0.0173	*	*	*	*	*	WP_236747984.1	WP_060776938.1	WP_060777927.1	WP_234946630.1	WP_235585486.1	*	*	*	*	*	WP_081135812.1	WP_002289147.1	WP_114524670.1	WP_002292866.1	WP_010745982.1	*	*	*	*	*
9	9	0.00864	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171024615.1	WP_002287608.1	WP_240318446.1	WP_137203112.1	WP_245001337.1	WP_014649096.1	WP_038701097.1	*	WP_162359026.1	WP_225446173.1
13	13	0.00539	*	*	*	*	WP_002962070.1	*	*	*	*	*	WP_006323413.1	WP_066325223.1	*	WP_181556723.1	*	WP_081133824.1	WP_002286344.1	WP_114525168.1	WP_002293203.1	WP_218256246.1	WP_014649693.1	*	WP_076172288.1	WP_162359710.1	WP_162642603.1
11	11	0.00537	*	*	*	*	WP_019786700.1	*	*	*	*	WP_003141141.1	WP_009373623.1	WP_066325645.1	*	WP_181555952.1	WP_171564439.1	WP_211355387.1	*	*	WP_002329687.1	*	WP_014372663.1	WP_038699635.1	WP_244364494.1	*	*
8	8	0.0449	*	*	*	*	*	*	*	WP_060778706.1	*	*	*	*	WP_127015430.1	*	*	*	*	WP_114524372.1	WP_002290271.1	WP_218257257.1	*	WP_038698691.1	*	WP_162357258.1	WP_162643100.1
8	8	0.00852	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081134498.1	WP_002296401.1	WP_114526006.1	WP_002329264.1	WP_218257475.1	WP_014370302.1	*	WP_152398923.1	*	WP_162645170.1
6	6	0.0343	*	*	*	*	*	*	*	*	*	*	*	*	WP_127015421.1	*	WP_230076605.1	WP_081134674.1	*	*	*	WP_218257485.1	WP_014371087.1	*	WP_152399794.1	*	*
6	6	0.0585	*	*	*	*	*	*	*	WP_060777580.1	*	*	*	*	*	*	WP_230077871.1	*	*	WP_114525990.1	*	WP_028020849.1	WP_014652875.1	*	WP_089547226.1	*	*
5	6	0.133	*	*	*	*	*	*	*	*	*	*	*	WP_066325861.1	*	WP_194520561.1	*	*	*	*	*	*	WP_014651877.1	*	WP_105443079.1,WP_152397851.1	WP_162359237.1	*
6	6	0.0399	*	*	WP_018029560.1	WP_001253404.1	*	*	*	*	*	*	*	*	*	*	*	WP_081134299.1	*	WP_114525708.1	*	WP_028020092.1	*	*	WP_152397996.1	*	*
6	6	0.0119	WP_126404773.1	*	*	WP_120701657.1	*	*	*	*	*	*	*	*	*	*	*	WP_232509772.1	*	*	*	*	WP_241484594.1	WP_038693074.1	WP_244364583.1	*	*
6	6	0.0254	*	*	*	*	*	WP_059348647.1	*	WP_060778421.1	*	*	*	WP_066327038.1	WP_127017280.1	*	*	*	*	*	WP_047929351.1	*	WP_014652634.1	*	*	*	*
6	6	0.0935	*	*	WP_018031150.1	*	WP_019777363.1	*	WP_004111736.1	*	*	*	*	*	*	WP_194520111.1	*	*	*	*	*	*	*	WP_038695666.1	WP_152397994.1	*	*
12	12	0.0048	WP_126404267.1	WP_005589814.1	*	WP_120701923.1	*	*	*	*	*	*	WP_035065442.1	WP_066326596.1	*	WP_194519037.1	WP_230077211.1	*	*	*	*	*	WP_016362230.1	WP_052098725.1	WP_152398653.1	WP_162360051.1	WP_162642406.1
9	9	0.042	*	*	*	*	*	*	*	*	*	*	WP_035064469.1	WP_066322627.1	*	WP_181555387.1	WP_230077506.1	*	*	*	*	*	WP_013913864.1	WP_038699357.1	WP_076174683.1	WP_192043401.1	WP_162642385.1
9	9	0.0125	*	*	*	*	*	*	*	*	*	*	WP_009373892.1	WP_066326152.1	*	WP_181554849.1	WP_171565612.1	*	*	*	*	*	WP_013916392.1	WP_038697293.1	WP_152398337.1	WP_162356666.1	WP_162639012.1
7	7	0.0719	*	*	*	*	*	*	*	*	*	*	WP_035064679.1	*	*	*	WP_171564793.1	*	*	*	*	*	WP_013917674.1	WP_084064971.1	WP_105443220.1	WP_162358123.1	WP_162638848.1
7	7	0.0272	*	*	*	*	*	*	*	*	*	*	WP_009373662.1	WP_066325791.1	*	WP_228485683.1	*	*	*	*	*	*	WP_014650805.1	*	WP_152398287.1	WP_162356872.1	WP_162638898.1
7	7	0.035	*	*	*	*	*	*	*	WP_060778708.1	*	*	*	*	*	*	*	*	*	WP_114524370.1	WP_219273666.1	WP_218257255.1	*	WP_245625213.1	*	WP_162357257.1	WP_162643099.1
19	19	0.00691	WP_126404709.1	WP_005591109.1	WP_018030975.1	WP_023024135.1	WP_109833724.1	WP_059349073.1	WP_060776913.1	WP_060777947.1	WP_067979702.1	WP_003142000.1	WP_035065370.1	WP_066327575.1	*	WP_181554678.1	WP_171566697.1	WP_081134490.1	WP_002288329.1	WP_010780656.1	WP_002291965.1	WP_218255653.1	*	*	*	*	*
12	12	0.0139	*	*	WP_018031123.1	*	WP_019770815.1	WP_016897566.1	WP_060777176.1	WP_060778159.1	WP_067980098.1	WP_235585536.1	*	*	*	*	*	WP_005875162.1	WP_002287385.1	WP_010779610.1	WP_002315901.1	WP_010745321.1	*	*	*	*	*
10	10	0.0255	WP_081697807.1	WP_037586086.1	WP_018031095.1	WP_120702309.1	WP_002959508.1	*	*	*	*	*	*	*	*	*	*	WP_005877342.1	WP_002317395.1	WP_240318393.1	WP_002291349.1	WP_218256909.1	*	*	*	*	*
20	20	0.00955	*	*	*	*	WP_109833626.1	WP_059348405.1	WP_060776536.1	WP_060778809.1	WP_067979148.1	WP_003143370.1	WP_035064810.1	WP_066323203.1	*	WP_194519781.1	WP_230077416.1	WP_095443721.1	WP_002288954.1	WP_114524081.1	WP_002328910.1	WP_218256954.1	WP_016362888.1	WP_038697758.1	WP_152398452.1	WP_162356379.1	WP_162639170.1
3	5	0.197	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_152397634.1	WP_162356949.1	WP_162645037.1,WP_162643617.1,WP_162644512.1
5	5	0.0709	*	*	*	*	*	WP_016898044.1	WP_060776784.1	WP_013669259.1	WP_067978612.1	WP_106427321.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
3	4	0.123	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014651648.1	*	WP_152401763.1,WP_152397863.1	WP_162357456.1	*
3	4	0.13	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_167527134.1	WP_162359620.1	WP_225446308.1,WP_225446139.1
3	4	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_095443974.1,WP_095443996.1	*	WP_114524323.1	WP_219273690.1	*	*	*	*	*	*
3	4	0.118	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372541.1,WP_014370142.1	*	*	WP_162357652.1	WP_162643201.1
3	4	0.129	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_152398885.1	WP_162357879.1,WP_225442481.1	WP_162644918.1
3	4	0.124	*	*	*	*	*	*	*	*	*	*	*	WP_066323248.1	*	WP_181556890.1,WP_194519298.1	*	*	*	*	*	WP_245001277.1	*	*	*	*	*
5	5	0.0478	*	*	*	*	*	WP_026465685.1	WP_060776801.1	WP_060778721.1	WP_067978507.1	WP_003142288.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
3	4	0.136	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013921419.1	WP_084064759.1,WP_038695845.1	WP_152403401.1	*	*
3	4	0.113	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014372406.1	WP_038698819.1	WP_152400941.1,WP_152399870.1	*	*
5	5	0.0241	WP_232011399.1	WP_005589248.1	WP_018030893.1	WP_227877733.1	WP_019775579.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
2	4	0.248	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_114523917.1,WP_114525186.1,WP_114525784.1	*	WP_060789463.1	*	*	*	*	*
4	4	0.0611	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171565220.1	WP_005880068.1	*	*	*	*	*	*	WP_152404739.1	*	WP_162640269.1
2	4	0.245	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_114523883.1,WP_240318387.1,WP_240318447.1	*	WP_218256609.1	*	*	*	*	*
9	9	0.0148	*	*	WP_003089974.1	*	WP_002959726.1	*	*	WP_060778410.1	*	*	WP_240483408.1	WP_066324878.1	*	*	*	WP_081134844.1	WP_002287514.1	WP_010742450.1	*	*	*	WP_038693021.1	*	*	*
5	5	0.056	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_194520755.1	WP_230077744.1	*	*	*	*	*	WP_014651476.1	WP_245625151.1	*	WP_162354638.1	*
3	4	0.108	*	*	*	*	*	*	*	*	*	*	*	WP_238583519.1	*	*	*	*	*	*	*	*	WP_041618605.1,WP_014650020.1	*	WP_152399750.1	*	*
5	5	0.0815	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014653172.1	WP_038699800.1	WP_152399733.1	WP_162354709.1	WP_162641314.1
3	5	0.11	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_171566049.1,WP_171565070.1	*	*	*	*	*	WP_041618653.1,WP_013920184.1	*	WP_152399341.1	*	*
2	4	0.143	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013916084.1,WP_014370648.1	*	WP_152403841.1,WP_152399044.1	*	*
4	8	0.102	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_013915858.1,WP_051220080.1	*	WP_244364417.1	WP_162355667.1,WP_162357252.1	WP_162644871.1,WP_162639355.1,WP_162638520.1
5	5	0.02	WP_126404683.1	WP_005591611.1	*	WP_023024066.1	*	*	*	*	*	*	*	*	*	*	*	WP_081135080.1	*	*	WP_002342321.1	*	*	*	*	*	*
8	8	0.02	*	*	*	*	*	*	*	*	*	*	*	*	WP_127015937.1	*	*	WP_081133908.1	WP_002289449.1	WP_114524828.1	WP_002329014.1	WP_060789517.1	WP_014653104.1	*	*	WP_192043411.1	*
5	5	0.0721	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_241484382.1	WP_052098746.1	WP_076174124.1	WP_162359041.1	WP_162643403.1
3	5	0.108	*	*	*	*	WP_002959698.1	*	*	*	*	*	*	*	*	*	*	*	*	WP_010740260.1,WP_240318335.1,WP_240318466.1	*	WP_070509966.1	*	*	*	*	*
5	5	0.0395	*	*	*	*	*	WP_059348386.1	WP_060776760.1	WP_060778773.1	WP_067979093.1	WP_004262842.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
9	9	0.0357	*	*	*	*	*	*	*	*	*	*	WP_035066142.1	WP_066322757.1	WP_127017251.1	WP_194520710.1	WP_230077473.1	*	*	*	*	*	WP_014649007.1	*	WP_152399985.1	WP_162359995.1	WP_162642448.1
5	5	0.0789	*	*	*	*	*	*	*	*	*	*	WP_009361344.1	WP_066325299.1	*	*	*	*	*	*	*	*	WP_013920485.1	*	*	WP_162360135.1	WP_162642154.1
4	4	0.167	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649507.1	*	WP_152400173.1	WP_162359306.1	WP_162643121.1
3	4	0.133	*	*	*	*	*	*	*	*	*	*	WP_035063980.1	*	WP_127015317.1	WP_194520145.1,WP_194519595.1	*	*	*	*	*	*	*	*	*	*	*
3	4	0.129	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014651274.1	*	WP_152398908.1,WP_152404052.1	*	WP_162640661.1
4	4	0.0412	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_194519444.1	*	*	*	*	*	*	*	*	WP_152403157.1	WP_162357584.1	WP_162644921.1
2	9	0.328	*	*	*	*	*	*	*	*	*	*	WP_049720840.1,WP_049720844.1,WP_049720885.1,WP_049720887.1,WP_049720900.1,WP_049720914.1	WP_066321972.1,WP_066324512.1,WP_066324817.1	*	*	*	*	*	*	*	*	*	*	*	*	*
3	5	0.119	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_041618533.1,WP_014652365.1,WP_014651720.1	*	WP_244364249.1	*	WP_162639839.1
3	4	0.117	*	*	*	*	*	*	*	*	*	*	WP_035067634.1	*	*	*	WP_171565505.1	*	*	*	*	*	*	*	WP_152398354.1,WP_152398364.1	*	*
5	5	0.0527	*	*	*	*	*	*	*	*	*	*	WP_035065526.1	WP_066327444.1	*	WP_194519006.1	*	*	*	*	*	*	WP_041618545.1	WP_052098921.1	*	*	*
9	9	0.021	*	*	*	*	*	*	*	*	*	*	WP_035065995.1	WP_066323564.1	*	WP_194519926.1	WP_171564390.1	*	*	*	*	*	WP_013917773.1	WP_038697677.1	WP_076169836.1	WP_162356473.1	WP_162639118.1
4	4	0.0736	*	*	*	*	*	WP_026466143.1	*	WP_060778393.1	WP_067980700.1	WP_004262308.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
4	4	0.161	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_232509749.1	*	*	*	*	WP_014650013.1	*	WP_145133942.1	*	WP_225446642.1
5	5	0.0505	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081133519.1	WP_002289192.1	WP_010780798.1	WP_002329178.1	WP_218255455.1	*	*	*	*	*
3	4	0.122	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_081133810.1	WP_002296829.1	*	WP_002329620.1,WP_104841832.1	*	*	*	*	*	*
3	4	0.129	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_041618519.1	*	*	WP_162354875.1,WP_162354840.1	WP_162637981.1
4	4	0.0287	*	*	*	*	*	*	*	*	*	*	WP_026011608.1	WP_066322421.1	*	*	*	*	*	*	*	*	WP_014370570.1	*	*	*	WP_162643731.1
3	4	0.146	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_014649776.1	*	WP_152401550.1,WP_152400903.1	*	WP_162643612.1
4	4	0.0569	*	*	*	*	*	*	*	*	*	*	WP_009361654.1	*	*	WP_062677354.1	*	*	*	*	*	*	*	WP_038694252.1	*	WP_162360702.1	*
5	5	0.0582	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_227326296.1	WP_156264891.1	WP_114524198.1	WP_002320976.1	WP_218257077.1	*	*	*	*	*
