,# Species,Genes,Alg.-Conn.,Aerococcus_christensenii.faa,Aerococcus_urina.faa,Aerococcus_urinaeequi.faa,Aerococcus_urinaehominis.faa,Aerococcus_viridans.faa,Anoxybacillus_amylolyticus.faa,Anoxybacillus_fermentans.faa,Anoxybacillus_gonensis.faa,Anoxybacillus_sediminis.faa,Anoxybacillus_сaldiproteolyticus.faa,Enterococcus_durans.faa,Enterococcus_faecium.faa,Enterococcus_gilvus.faa,Enterococcus_lactis.faa,Enterococcus_raffinosus.faa,Paenibacillus_cellulositrophicus.faa,Paenibacillus_lycopersici.faa,Paenibacillus_mucilaginosus.faa,Paenibacillus_rhizovicinus.faa,Paenibacillus_stellifer.faa,Staphylococcus_auricularis.faa,Staphylococcus_lutrae.faa,Staphylococcus_muscae.faa,Staphylococcus_pettenkoferi.faa,Staphylococcus_pseudintermedius.faa,Streptococcus_australis.faa,Streptococcus_cristatus.faa,Streptococcus_ferus.faa,Streptococcus_koreensis.faa,Streptococcus_sobrinus.faa,Thermoanaerobacter_brockii.faa,Thermoanaerobacter_italicus.faa,Thermoanaerobacter_kivui.faa,Thermoanaerobacter_mathranii.faa,Thermoanaerobacter_pseudethanolicus.faa,virgibacillius_dokdonensis.faa,virgibacillius_pantothenticus.faa,virgibacillius_phasianinus.faa,Thermoanaerobacter,Aerococcus,Anoxybacillus,Paenibacillus,Enterococcus,virgibacillius,Streptococcus,Staphylococcus,genes,taxons
1478,38,41,0.337,WP_060776872.1,WP_013669478.1,WP_004262667.1,WP_067979316.1,WP_004262667.1,WP_009361506.1,WP_171567185.1,WP_127018118.1,WP_181557591.1,WP_066322021.1,WP_005881199.1,WP_002295975.1,WP_010779391.1,WP_002295975.1,WP_010744354.1,WP_076176761.1,WP_162359793.1,WP_013921133.1,WP_162642538.1,WP_038698971.1,"QQA49076.1,QPT06649.1",WP_085236861.1,"QQA49076.1,SNW03621.1,QPT06649.1",ASE36654.1,QQA49076.1,WP_002876943.1,WP_003026230.1,WP_018030842.1,WP_023024367.1,WP_002962718.1,WP_003868593.1,WP_012995882.1,WP_049685789.1,WP_013150792.1,WP_003868593.1,lcl|CP017962.1_prot_APC46844.1_159,lcl|CP017962.1_prot_APC46844.1_159,lcl|CP022315.1_prot_ASK61624.1_1010,0,3,0,0,5,1,0,1,0,4
1534,35,42,0.304,WP_060776627.1,*,*,WP_067980718.1,*,WP_009362259.1,WP_171566860.1,WP_236777919.1,WP_181556442.1,WP_066322854.1,WP_005879202.1,WP_002287684.1,WP_010780171.1,WP_002287684.1,WP_010745869.1,WP_116232670.1,WP_162356162.1,WP_014368958.1,WP_162639472.1,WP_038694731.1,"QPT05757.1,QQA48044.1",WP_019166867.1,"QPT05757.1,QQA48044.1,SNW00869.1",ASE37857.1,QQA48044.1,WP_126403799.1,WP_005591770.1,WP_018030765.1,WP_023022211.1,WP_002961586.1,"WP_003868738.1,WP_003869854.1","WP_012994478.1,WP_012996185.1",WP_049686064.1,"WP_012996185.1,WP_013149789.1","WP_003868738.1,WP_003869854.1",lcl|CP017962.1_prot_APC48994.1_2446,lcl|CP017962.1_prot_APC48994.1_2446,lcl|CP022315.1_prot_ASK62820.1_2329,0,0,0,0,1,1,1,4,0,4
1554,38,41,0.413,WP_060776384.1,WP_060779043.1,WP_059348913.1,WP_074572440.1,WP_003142739.1,WP_021094892.1,WP_171564327.1,WP_127018201.1,WP_181554996.1,WP_066323630.1,WP_005879678.1,WP_002295862.1,WP_086303809.1,WP_002295862.1,WP_010744826.1,WP_152398409.1,WP_162356537.1,WP_187296783.1,WP_162639079.1,WP_179944936.1,"QQA47715.1,QPT05523.1",WP_085238085.1,"QQA47715.1,QPT05523.1,SNW01689.1",ASE35870.1,QQA47715.1,WP_006596278.1,WP_005590199.1,WP_018029960.1,WP_006596278.1,WP_002961021.1,WP_003868400.1,WP_012995388.1,WP_004401205.1,WP_004401205.1,WP_003868400.1,lcl|CP017962.1_prot_APC48699.1_2135,lcl|CP017962.1_prot_APC48699.1_2135,lcl|CP022315.1_prot_ASK63565.1_3129,0,2,1,3,1,0,0,0,0,4
1560,36,39,0.481,WP_060776108.1,WP_060778314.1,WP_059348921.1,WP_067977165.1,WP_003142756.1,WP_035066356.1,WP_212133651.1,WP_127015939.1,WP_194520646.1,WP_066324544.1,WP_005875830.1,WP_002289183.1,WP_205242158.1,WP_002329169.1,WP_010744801.1,WP_152401290.1,WP_162358549.1,WP_014369277.1,WP_162644111.1,WP_052098350.1,"QQA47491.1,QPT05315.1",WP_085238304.1,"QQA47491.1,QPT05315.1,SNW02688.1",ASE36082.1,QQA47491.1,WP_126403846.1,WP_005591054.1,WP_018030916.1,WP_117745182.1,WP_004205563.1,WP_004399793.1,WP_012994481.1,*,*,WP_004399793.1,lcl|CP017962.1_prot_APC48472.1_1902,lcl|CP017962.1_prot_APC48472.1_1902,lcl|CP022315.1_prot_ASK63373.1_2917,0,1,0,3,1,0,0,3,0,4
1562,38,41,0.58,WP_060776436.1,WP_060777780.1,WP_059348538.1,WP_067979539.1,WP_003143058.1,WP_019418051.1,WP_171567197.1,WP_127017886.1,WP_181557375.1,WP_066322207.1,WP_005875132.1,WP_002287345.1,WP_010782090.1,WP_002287345.1,WP_010747252.1,WP_152399705.1,WP_162354758.1,WP_013921242.1,WP_162641085.1,WP_038692836.1,"QQA48381.1,QPT06362.1",WP_085237514.1,"QQA48381.1,QPT06362.1,SNV98747.1",ASE37457.1,QQA48381.1,WP_126404886.1,WP_005591656.1,WP_018030640.1,WP_042507484.1,WP_239415458.1,WP_012268901.1,WP_012996142.1,WP_049686007.1,WP_012996142.1,WP_012268901.1,lcl|CP017962.1_prot_APC46750.1_64,lcl|CP017962.1_prot_APC46750.1_64,lcl|CP022315.1_prot_ASK61713.1_1106,0,1,0,1,1,0,0,2,0,4
1570,32,35,0.623,*,*,WP_026465138.1,WP_067978036.1,WP_039935218.1,WP_009361777.1,WP_171566658.1,*,WP_194519028.1,WP_066326556.1,*,*,WP_114524532.1,*,WP_010745027.1,WP_076173235.1,WP_162359149.1,WP_014368423.1,WP_162643273.1,WP_038694425.1,"QQA49221.1,QPT06756.1",WP_085236692.1,"QQA49221.1,QPT06756.1,SNW03337.1",ASE36529.1,QQA49221.1,WP_023027688.1,WP_005591758.1,WP_018030781.1,WP_023022200.1,WP_002960115.1,WP_003869982.1,WP_012994194.1,WP_049684249.1,WP_013149504.1,WP_003869982.1,lcl|CP017962.1_prot_APC49247.1_2718,lcl|CP017962.1_prot_APC49247.1_2718,lcl|CP022315.1_prot_ASK63754.1_3338,0,3,0,1,0,1,0,2,0,4
1607,38,41,0.614,WP_060776357.1,WP_060777871.1,WP_034258289.1,WP_067977937.1,WP_039935521.1,WP_009373572.1,WP_171564294.1,WP_127016310.1,WP_181554983.1,WP_066323667.1,WP_005875142.1,WP_002303641.1,WP_010779598.1,WP_002293062.1,WP_010745309.1,WP_116229595.1,WP_162358270.1,WP_013919589.1,WP_162644411.1,WP_038695535.1,"QQA47704.1,QPT05513.1",WP_014614147.1,"QQA47704.1,QPT05513.1,SNW01737.1",ASE35880.1,QQA47704.1,WP_006596846.1,WP_005590938.1,WP_018030912.1,WP_006596846.1,WP_019777947.1,WP_012269392.1,WP_012995368.1,WP_049685327.1,WP_012995368.1,WP_012269392.1,lcl|CP017962.1_prot_APC48686.1_2121,lcl|CP017962.1_prot_APC48686.1_2121,lcl|CP022315.1_prot_ASK63551.1_3114,0,1,0,1,0,1,1,0,0,4
1614,37,40,0.539,WP_060776826.1,WP_076340229.1,WP_059349232.1,WP_067978383.1,WP_003142479.1,WP_035067834.1,WP_230077610.1,WP_236777842.1,WP_194519403.1,WP_066322185.1,WP_081135062.1,WP_002287403.1,WP_114525019.1,WP_002290931.1,WP_010745328.1,WP_152399704.1,WP_225442618.1,WP_014653025.1,WP_162641037.1,WP_038692842.1,"QPT06369.1,QQA48374.1",*,"QPT06369.1,QQA48374.1,SNV98780.1",ASE37469.1,QQA48374.1,WP_126403554.1,WP_005591372.1,WP_018030403.1,WP_120701432.1,WP_109833380.1,WP_012268907.1,WP_245522826.1,WP_049685998.1,WP_013150955.1,WP_012268907.1,lcl|CP017962.1_prot_APC46757.1_71,lcl|CP017962.1_prot_APC46757.1_71,lcl|CP022315.1_prot_ASK61707.1_1099,0,2,1,2,1,0,0,0,0,4
1618,38,41,0.609,WP_060776646.1,WP_060779008.1,WP_026465540.1,WP_067978850.1,WP_003142912.1,WP_035067258.1,WP_171563884.1,WP_127018277.1,WP_181555254.1,WP_066322284.1,WP_095443665.1,WP_002321575.1,WP_240318431.1,WP_002293127.1,WP_245001318.1,WP_152399714.1,WP_162354740.1,WP_014648957.1,WP_162641139.1,WP_038692812.1,"QQA48536.1,QPT06210.1",WP_085237367.1,"QQA48536.1,QPT06210.1,SNV98068.1",ASE37346.1,QQA48536.1,WP_126404194.1,WP_005590391.1,WP_018029757.1,WP_023023148.1,WP_109833601.1,WP_003867400.1,WP_012994191.1,WP_049684246.1,WP_013149485.1,WP_003867400.1,lcl|CP017962.1_prot_APC46694.1_8,lcl|CP017962.1_prot_APC46694.1_8,lcl|CP022315.1_prot_ASK61757.1_1153,0,2,0,1,2,1,0,0,0,4
1646,38,41,0.684,WP_060776834.1,WP_060778681.1,WP_059349228.1,WP_067978356.1,WP_003142499.1,WP_019418030.1,WP_212132590.1,WP_127018045.1,WP_181557406.1,WP_066322128.1,WP_005875194.1,WP_002296055.1,WP_086306438.1,WP_002290948.1,WP_143142287.1,WP_152399689.1,WP_162354800.1,WP_014372573.1,WP_162640919.1,WP_038692876.1,"QQA48359.1,QPT06383.1",WP_085237534.1,"QQA48359.1,QPT06383.1,SNV98866.1",ASE37483.1,QQA48359.1,WP_126404556.1,WP_005590693.1,WP_018030191.1,WP_023027082.1,WP_002960977.1,WP_012268971.1,WP_012995972.1,WP_049685862.1,WP_013150853.1,WP_012268971.1,lcl|CP017962.1_prot_APC50138.1_95,lcl|CP017962.1_prot_APC50138.1_95,lcl|CP022315.1_prot_ASK61684.1_1074,0,1,0,1,2,1,0,0,0,4
1680,37,40,0.684,WP_060776778.1,WP_060778749.1,WP_026465644.1,WP_067978638.1,WP_003142618.1,WP_009361485.1,WP_171567154.1,WP_127018079.1,WP_181557441.1,WP_066322083.1,WP_005881184.1,WP_002295964.1,WP_162787362.1,WP_002310550.1,WP_010744340.1,WP_145950219.1,WP_162359856.1,WP_041618553.1,WP_192043526.1,WP_038699030.1,"QQA48326.1,QPT06411.1",WP_085237566.1,"QQA48326.1,SNV99014.1,QPT06411.1",ASE37509.1,QQA48326.1,WP_126403659.1,WP_005591272.1,WP_018031086.1,WP_117744988.1,WP_109833405.1,WP_012268991.1,WP_012995921.1,WP_049685826.1,*,WP_012268991.1,lcl|CP017962.1_prot_APC46803.1_118,lcl|CP017962.1_prot_APC46803.1_118,lcl|CP022315.1_prot_ASK61665.1_1051,0,6,0,2,1,1,0,0,0,4
1707,38,41,0.691,WP_060776924.1,WP_013669011.1,WP_059348695.1,WP_067977867.1,WP_004262406.1,WP_003394943.1,WP_029100188.1,WP_236777908.1,WP_181554949.1,WP_066323742.1,WP_002286913.1,WP_002286913.1,WP_010740291.1,WP_002290284.1,WP_010746105.1,WP_076168209.1,WP_090637675.1,WP_013919517.1,WP_162638763.1,WP_038696781.1,"QPT05479.1,QQA47665.1",WP_085238134.1,"QPT05479.1,QQA47665.1,SNW01844.1",ASE35914.1,QQA47665.1,WP_003003254.1,WP_005590628.1,WP_018030106.1,WP_003016418.1,WP_002962071.1,WP_003866683.1,WP_012995306.1,WP_049685280.1,WP_012995306.1,WP_003866683.1,lcl|CP017962.1_prot_APC48653.1_2086,lcl|CP017962.1_prot_APC48653.1_2086,lcl|CP022315.1_prot_ASK63510.1_3069,0,2,0,1,0,0,2,5,0,4
1711,38,41,0.692,WP_060776851.1,WP_013669368.1,WP_004262575.1,WP_067978313.1,WP_004262575.1,WP_003397675.1,WP_171567168.1,WP_127018096.1,WP_181557425.1,WP_066322058.1,WP_005880793.1,WP_002288669.1,WP_010782054.1,WP_002288669.1,WP_010742760.1,WP_076176744.1,WP_090583243.1,WP_013921151.1,WP_161705097.1,WP_038698997.1,"QPT06627.1,QQA49054.1",WP_014613222.1,"QPT06627.1,QQA49054.1,SNW03663.1",ASE36676.1,QQA49054.1,WP_002894494.1,WP_002894494.1,WP_018031028.1,WP_023025002.1,WP_002959382.1,WP_003868570.1,WP_012995902.1,WP_049685810.1,WP_012995902.1,WP_003868570.1,lcl|CP017962.1_prot_APC46821.1_136,lcl|CP017962.1_prot_APC46821.1_136,lcl|CP022315.1_prot_ASK61647.1_1033,0,1,0,0,4,0,1,1,0,4
7726,21,21,0.539,WP_060777056.1,WP_060778481.1,WP_059348776.1,WP_067980341.1,WP_003141200.1,*,*,*,*,*,WP_081133796.1,WP_002300050.1,WP_114525318.1,WP_002293367.1,WP_218256507.1,*,*,*,*,*,QPT06452.1,*,QPT06452.1,ASE37584.1,*,WP_126404862.1,WP_005591681.1,WP_018029896.1,WP_023024453.1,WP_019781480.1,*,*,*,*,*,lcl|CP017962.1_prot_APC46888.1_207,lcl|CP017962.1_prot_APC46888.1_207,lcl|CP022315.1_prot_ASK61574.1_959,0,3,0,0,5,1,0,2,0,4
8518,34,44,0.147,"WP_060777390.1,WP_060776672.1","WP_060778304.1,WP_060777534.1",WP_059348910.1,WP_067977177.1,WP_003142735.1,WP_100215840.1,WP_212132438.1,"WP_127016478.1,WP_127016476.1",WP_181554442.1,WP_066326239.1,WP_005880333.1,WP_002296156.1,"WP_010781515.1,WP_010781491.1",WP_002294941.1,"WP_010746676.1,WP_218256813.1",*,WP_162356411.1,"WP_013917801.1,WP_013917223.1",WP_162639149.1,WP_038694161.1,"QQA47380.1,QPT05211.1",WP_085235954.1,"SNW02459.1,QQA47380.1,QPT05211.1,SNW04637.1",ASE36179.1,QQA47380.1,WP_126404129.1,WP_005590414.1,*,*,*,WP_003867909.1,WP_012995008.1,WP_049684985.1,WP_013150178.1,WP_003867909.1,lcl|CP017962.1_prot_APC48233.1_1644,lcl|CP017962.1_prot_APC48233.1_1644,lcl|CP022315.1_prot_ASK63165.1_2702,0,1,0,3,0,0,1,1,0,4
10363,30,39,0.216,*,*,*,*,*,WP_004889517.1,WP_029101087.1,WP_127018072.1,WP_111644233.1,WP_066326207.1,WP_002296119.1,WP_002296119.1,WP_010740369.1,WP_002296119.1,WP_010740369.1,"WP_152403455.1,WP_076176720.1","WP_162357529.1,WP_162356288.1",WP_014372565.1,WP_162640579.1,"WP_038694466.1,WP_084065281.1","QQA47571.1,QQA47398.1",WP_014613994.1,"QQA47571.1,SNW02838.1,QQA47398.1,SNW02486.1","ASE35994.1,ASE36167.1","QQA47571.1,QQA47398.1",WP_081453577.1,WP_005590723.1,WP_081601034.1,WP_081453577.1,WP_002959992.1,WP_004402360.1,WP_004402360.1,WP_004402360.1,*,WP_004402360.1,*,*,lcl|CP022315.1_prot_ASK63189.1_2726,0,0,0,3,5,0,1,3,0,4
10551,35,39,0.154,WP_060776896.1,WP_060778621.1,WP_059349144.1,WP_067979617.1,WP_060779330.1,WP_006318101.1,WP_230077390.1,*,WP_194518854.1,WP_066326032.1,WP_081135001.1,WP_002303638.1,*,WP_219273624.1,WP_218256319.1,WP_152402803.1,WP_162358246.1,WP_014371539.1,WP_162644450.1,WP_038696978.1,"QQA47444.1,QPT05261.1",WP_085238351.1,"SNW02578.1,QPT05261.1,QQA47444.1",ASE36127.1,QQA47444.1,WP_126404136.1,WP_005590172.1,WP_018031106.1,*,WP_109833697.1,WP_003866786.1,WP_012995215.1,WP_049686233.1,WP_013150315.1,WP_003866786.1,lcl|CP017962.1_prot_APC46707.1_21,lcl|CP017962.1_prot_APC46707.1_21,"lcl|CP022315.1_prot_ASK61746.1_1142,lcl|CP022315.1_prot_ASK60953.1_271",0,0,0,3,1,0,1,3,0,4
10658,35,42,0.513,WP_060777254.1,WP_060778348.1,WP_059348874.1,WP_067977711.1,WP_003142641.1,WP_035066509.1,WP_212131862.1,*,WP_181557107.1,WP_066324150.1,WP_005875467.1,WP_044382760.1,"WP_086304907.1,WP_086306276.1",WP_002292557.1,WP_070509441.1,WP_152400223.1,"WP_162359496.1,WP_162358772.1",WP_014372713.1,WP_162645350.1,WP_038697107.1,"QQA47599.1,QPT05425.1",WP_085238200.1,"QQA47599.1,QPT05425.1,SNW02031.1",ASE35969.1,QQA47599.1,WP_126404350.1,WP_005590120.1,WP_018030971.1,WP_009730830.1,*,WP_012269054.1,WP_012995763.1,*,WP_013150703.1,WP_012269054.1,"lcl|CP017962.1_prot_APC49111.1_2570,lcl|CP017962.1_prot_APC47744.1_1126","lcl|CP017962.1_prot_APC49111.1_2570,lcl|CP017962.1_prot_APC47744.1_1126",lcl|CP022315.1_prot_ASK62601.1_2084,0,2,0,3,1,0,0,1,0,4
10677,32,35,0.469,WP_060776249.1,WP_060778360.1,WP_059348719.1,*,WP_003142086.1,WP_035063801.1,WP_230077711.1,WP_127017585.1,WP_181557502.1,WP_066322922.1,WP_095443817.1,WP_045135976.1,WP_114524480.1,WP_002292222.1,WP_218255611.1,WP_152399218.1,*,*,*,WP_038693582.1,"QQA47825.1,QPT05611.1",WP_085237976.1,"QQA47825.1,QPT05611.1,SNW01382.1",ASE35777.1,QQA47825.1,WP_126403572.1,WP_005592286.1,WP_018031135.1,WP_120701416.1,WP_109833391.1,*,WP_012994697.1,WP_049684671.1,WP_013149952.1,*,lcl|CP017962.1_prot_APC47171.1_509,lcl|CP017962.1_prot_APC47171.1_509,lcl|CP022315.1_prot_ASK61175.1_518,0,1,0,0,0,1,1,2,0,4
